Date,Open,High,Low,Close,Volume
2021.06.02,36289.04,38183.95,35898.47,37714.47,39211
2021.06.03,37711.48,39442.57,37153.09,38670.42,33350
2021.06.04,38671.42,39235.79,35551.85,37007.25,38167
2021.06.05,36815.46,37885.28,35246.19,35826.55,36664
2021.06.06,35814.56,36414.9,34795.68,35918.45,32433
2021.06.07,35910.46,36738.54,34004.55,34419.1,28090
2021.06.08,34422.1,34609.89,31045.81,33596.01,49325
2021.06.09,33594.01,36691.6,32438.28,36314.02,44292
2021.06.10,36310.02,38288.84,35781.6,36426.89,48016
2021.06.11,36433.88,37612.58,35901.47,37117.13,43523
2021.06.12,37294.93,37422.79,34596.9,35984.37,36940
2021.06.13,35986.37,39339.68,34767.71,39239.79,35767
2021.06.14,39220.82,40938.92,38651.44,39774.21,31267
2021.06.15,39777.2,41231.6,39418.59,39876.09,38247
2021.06.16,39872.1,40470.49,38219.91,38475.64,37196
2021.06.17,38477.63,39494.39,37350.87,37699.49,35377
2021.06.18,37713.48,38159.98,35105.34,35491.92,40024
2021.06.19,35808.57,36410.9,34797.68,36167.17,27048
2021.06.20,36168.17,36202.13,33391.23,35863.51,31835
2021.06.21,35871.5,35934.43,31790.99,32601.11,51402
2021.06.22,32600.11,33334.29,29219.82,32930.74,56813
2021.06.23,32929.74,34742.74,31761.02,33040.62,50810
2021.06.24,33040.62,35236.2,32311.42,34827.65,41219
2021.06.25,34827.65,35459.95,31439.38,32175.57,37516
2021.06.26,31552.25,32628.07,30177.77,31301.53,28035
2021.06.27,31302.53,33605.99,30938.93,32647.05,29358
2021.06.28,32642.06,35284.15,32416.99,34662.83,39281
2021.06.29,34670.83,36563.74,34118.43,36141.21,39917
2021.06.30,36141.21,36288.05,34024.69,34576.93,260398
2021.07.01,34577.93,35179.26,32689,33374.25,66951
2021.07.02,33371.26,33936.63,32669.03,33114.54,43232
2021.07.03,33108.55,34918.55,33084.57,34700.79,34476
2021.07.04,34701.79,35657.74,34271.27,35505.91,35928
2021.07.05,35504.91,35909.46,33099.56,33815.77,41338
2021.07.06,33816.77,35114.34,33528.08,33948.62,37417
2021.07.07,33948.62,35049.41,33630.97,34525.99,30462
2021.07.08,34522.99,34522.99,32041.72,32747.94,32103
2021.07.09,32748.94,33636.96,32220.52,33453.17,31922
2021.07.10,33461.16,34201.34,32989.68,33282.36,24191
2021.07.11,33281.36,34068.49,33237.4,33825.76,28484
2021.07.12,33823.76,34626.87,32575.13,32799.89,28353
2021.07.13,32792.89,33304.33,32165.58,32484.23,25553
2021.07.14,32484.23,33086.57,31569.24,32792.89,31375
2021.07.15,32792.89,33165.48,31135.72,31757.03,29343
2021.07.16,31755.04,32243.5,31019.85,31828.96,30313
2021.07.17,31824.96,31973.8,31185.66,31719.08,15946
2021.07.18,31723.07,32422.3,31096.76,31649.15,13416
2021.07.19,31646.16,31935.84,30476.45,30816.07,17782
2021.07.20,30817.07,31053.81,29302.74,29854.13,25382
2021.07.21,29855.13,32804.88,29500.52,31822.96,24947
2021.07.22,31809.98,32583.13,31702.1,32236.51,29044
2021.07.23,32232.51,32912.76,31994.77,32481.24,29003
2021.07.24,32481.24,34498.02,32451.27,33924.65,27652
2021.07.25,33923.65,34789.7,33823.76,34451.07,34638
2021.07.26,34449.07,40480.43,34425.1,37736.45,49357
2021.07.27,37718.47,38722.85,36386.94,37990.66,47069
2021.07.28,37992.66,40853.51,37932.72,39947.5,45699
2021.07.29,39923.53,40575.81,39235.29,39667.81,38181
2021.07.30,39674.8,41623.66,38314.3,40613.77,33385
2021.07.31,40628.75,42321.89,40611.77,41471.33,34281
2021.08.01,41467.34,42490.21,40596.3,41210.62,30860
2021.08.02,41208.62,41254.57,38680.41,38829.24,41327
2021.08.03,38829.24,39743.24,37630.56,38066.08,39892
2021.08.04,38070.08,39830.14,37484.72,39717.27,35999
2021.08.05,39720.26,41312.51,37288.94,40859.01,36776
2021.08.06,40861.01,43336.28,39863.11,42669.02,39925
2021.08.07,42669.02,44509.99,42388.32,43879.68,39611
2021.08.08,43883.68,45206.22,43259.37,43783.79,39802
2021.08.09,43783.79,46387.92,42750.92,45412.99,38420
2021.08.10,45422.98,46629.65,44594.89,45590.8,32553
2021.08.11,45590.8,46679.6,45200.23,46277.04,21182
2021.08.12,46276.04,46329.49,43769.8,44427.08,29132
2021.08.13,44418.09,47852.31,43860.7,47578.61,25145
2021.08.14,47578.61,48092.04,45906.45,46616.67,20006
2021.08.15,46612.67,47320.89,45470.93,46674.6,20304
2021.08.16,46684.59,48022.12,45645.74,46026.32,26821
2021.08.17,46024.32,47121.11,44401.11,44948.5,33729
2021.08.18,44929.53,45965.39,44224.3,44462.04,33061
2021.08.19,44464.04,46829.43,43956.6,46547.74,33141
2021.08.20,46551.74,49044.99,46326.99,48617.46,25337
2021.08.21,48611.47,49739.23,48199.92,48950.1,26082
2021.08.22,48959.09,49420.58,48033.11,48342.77,19651
2021.08.23,48341.77,50496.4,48234.89,49467.53,25273
2021.08.24,49469.53,49812.15,47729.44,48289.83,22375
2021.08.25,48294.82,49109.92,47098.14,48654.42,28438
2021.08.26,48650.43,49322.69,46266.05,46994.25,33222
2021.08.27,46996.25,49110.92,46319,48850.21,30152
2021.08.28,48865.19,49261.76,48338.77,48702.37,21274
2021.08.29,48703.37,49601.38,47714.46,48878.18,22292
2021.08.30,48879.18,49374.63,47371.84,48608.47,24974
2021.08.31,48607.48,48643.44,46680.6,46965.28,26242
2021.09.01,46963.29,49078.96,46555.74,48244.87,20564
2021.09.02,48242.88,50315.59,48238.88,49493.5,24794
2021.09.03,49498.49,51008.83,48285.83,50097.83,27034
2021.09.04,50098.83,50482.41,49353.65,50116.81,21981
2021.09.05,50117.81,51677.1,49434.56,51627.15,18682
2021.09.06,51625.15,52124.6,51000.84,51877.87,13832
2021.09.07,51877.87,52835.82,43179.45,46753.52,31132
2021.09.08,46753.52,47292.92,44439.07,46007.34,42795
2021.09.09,45957.39,47343.87,45509.89,46237.09,32795
2021.09.10,46214.11,46991.26,44742.73,45035.41,29085
2021.09.11,45034.41,45945.41,44229.3,45270.15,24735
2021.09.12,45270.15,46200.13,44735.74,45039.4,19929
2021.09.13,45026.42,46804.46,43438.17,45140.29,35038
2021.09.14,45142.29,46928.32,44661.82,46783.48,25472
2021.09.15,46780.49,48379.73,46369.94,47890.27,21021
2021.09.16,47891.26,48474.62,47018.23,47122.11,31542
2021.09.17,47104.13,48135.99,46726.55,46946.3,21603
2021.09.18,46936.32,48768.3,46763.51,47947.2,21256
2021.09.19,47949.2,48323.79,47042.2,47556.63,15331
2021.09.20,47557.63,47618.56,42414.62,43519.76,420564
2021.09.21,43490.1,43925.75,40067.48,40855.54,514614
2021.09.22,40861.04,44026.67,39522.92,43394.82,514324
2021.09.23,43397.2,44954.25,43007.85,44668.26,368523
2021.09.24,44677.26,45154.46,40642.54,42938.18,563956
2021.09.25,42947.7,43208.33,41640.75,42653.31,310742
2021.09.26,42633.04,43783.05,40696,43642.39,503469
2021.09.27,43614.96,44367.89,42585.34,42636.85,473202
2021.09.28,42664.01,43420.03,41110.69,41762.19,544521
2021.09.29,41737.03,42592.51,40734.11,41112.7,444120
2021.09.30,41112.2,44102.48,40934.09,43390.5,456529
2021.10.01,43390.5,48217.51,43262.03,48148.53,424539
2021.10.02,48129.53,48490.42,47442.87,47958.18,250466
2021.10.03,47957.18,49210.3,47096,48441.44,316291
2021.10.04,48441.44,49520.26,46901.76,48967.19,576216
2021.10.05,48932.11,51795.23,48521.11,51443.13,590166
2021.10.06,51429.9,55416.8,50404.01,54933.28,663495
2021.10.07,54933.78,55775.71,53320.68,54186.33,667744
2021.10.08,54118.4,56154.1,53590.91,53958.78,564969
2021.10.09,53959.28,55385.01,53666.08,54667.19,273617
2021.10.10,54602.87,56555.93,54079.4,55358.07,495495
2021.10.11,55368.03,57841.59,54342.16,57307.58,538020
2021.10.12,57307.58,57681.68,53664.8,55330.3,451178
2021.10.13,55321.3,57492.11,54255.5,56969.55,339996
2021.10.14,56913.32,58556.02,56716.83,57395.23,391707
2021.10.15,57373.82,62870.51,56850.77,62439.12,395802
2021.10.16,62458.22,62466.21,60107.57,61017.31,214066
2021.10.17,61012.31,61454.27,58839.35,59392.81,285566
2021.10.18,59315.68,62687.77,59228.78,61348.95,440426
2021.10.19,61290.5,64362.4,61094,64097.32,399876
2021.10.20,64017.5,67027.76,63494.17,65968.11,322194
2021.10.21,65985.13,66663.02,61857.35,62648.17,502754
2021.10.22,62583.08,63758.02,59939.57,60711.44,591373
2021.10.23,60678.94,61659.1,60161.35,61051.77,210392
2021.10.24,61052.77,61490.55,59461.66,61109.5,437561
2021.10.25,61068.75,63730.27,60635.86,62527.32,434775
2021.10.26,62527.32,63292.05,61747.75,62081.85,345870
2021.10.27,62004.72,62019.7,57939.84,58835.87,657125
2021.10.28,58844.37,62511.45,57682.9,61386.21,591030
2021.10.29,61308.48,62981.02,60131.84,62384.34,524157
2021.10.30,62303.39,62452.27,60682.17,61629.13,229810
2021.10.31,61629.13,62433.52,59961.77,61445.2,425623
2021.11.01,61452.2,62488.39,59361.6,60761.2,539749
2021.11.02,60759.2,64305.77,60599.97,63027.21,532851
2021.11.03,62973.6,63558.84,60226.15,63126.09,261393
2021.11.04,63126.09,63190.27,60662.43,61336.93,241200
2021.11.05,61324.43,62621.73,60756.65,61100.02,217727
2021.11.06,61101.52,61585.68,60027.9,61451.06,97238
2021.11.07,61453.06,63096.13,61314.27,62877.11,134941
2021.11.08,62789.85,66553.21,62775.64,66023.87,288753
2021.11.09,66057.26,68513.22,66050.26,67699.67,218559
2021.11.10,67634.52,69034.85,62794.01,64208.05,293157
2021.11.11,64161.34,65593.78,63778.76,65017.83,244529
2021.11.12,64963.46,65492.97,62284.23,64060.36,383607
2021.11.13,64060.36,64892.54,63329.26,64347,195457
